"","X1","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"134",260,98,"Tuesday Jul 24","boxscore","ATL","@","MIA","L",3,9,NA,"54-44",2,"1.0","Chen","Teheran",NA,02:37:00,"D",21673,"-",NA
"135",267,105,"Thursday Aug 2","boxscore","ATL","@","NYM","W",4,2,NA,"58-47",2,"0.5","Foltynewicz","Vargas","Minter",02:49:00,"N",24525,"++++",NA
"136",268,106,"Friday Aug 3","boxscore","ATL","@","NYM","W",2,1,NA,"59-47",2,"0.5","Sanchez","deGrom","Minter",02:26:00,"N",25101,"+++++",NA
"137",269,107,"Saturday Aug 4","boxscore","ATL","@","NYM","L",0,3,NA,"59-48",2,"1.5","Wheeler","Gausman","Gsellman",02:41:00,"N",36946,"-",NA
"138",270,108,"Sunday Aug 5","boxscore","ATL","@","NYM","W",5,4,10,"60-48",2,"1.5","Minter","Bashlor","Biddle",03:19:00,"D",27134,"+",NA
"139",271,109,"Tuesday Aug 7 (1)","boxscore","ATL","@","WSN","L",3,8,NA,"60-49",2,"1.5","Rodriguez","Allard",NA,03:08:00,"D",26965,"-",NA
"140",272,110,"Tuesday Aug 7 (2)","boxscore","ATL","@","WSN","W",3,1,NA,"61-49",2,"1.5","Biddle","Herrera","Minter",02:54:00,"N",28970,"+",NA
"141",273,111,"Wednesday Aug 8","boxscore","ATL","@","WSN","W",8,3,NA,"62-49",2,"0.5","Foltynewicz","Milone",NA,03:04:00,"N",30203,"++",NA
"142",274,112,"Thursday Aug 9","boxscore","ATL","@","WSN","L",3,6,NA,"62-50",2,"1.0","Gonzalez","Parsons",NA,02:30:00,"D",28347,"-",NA
"143",286,124,"Monday Aug 20","boxscore","ATL","@","PIT","W",1,0,NA,"69-55",1,"up 1.0","Wilson","Archer","Winkler",03:10:00,"N",16445,"+",NA
"144",287,125,"Tuesday Aug 21","boxscore","ATL","@","PIT","W",6,1,NA,"70-55",1,"up 2.0","Gausman","Nova",NA,02:36:00,"N",13280,"++",NA
"145",288,126,"Wednesday Aug 22","boxscore","ATL","@","PIT","W",2,1,NA,"71-55",1,"up 3.0","Teheran","Crick","Venters",02:36:00,"N",14249,"+++",NA
"146",289,127,"Thursday Aug 23","boxscore","ATL","@","MIA","W",5,0,NA,"72-55",1,"up 3.0","Newcomb","Hernandez",NA,03:00:00,"N",6587,"++++",NA
"147",290,128,"Friday Aug 24","boxscore","ATL","@","MIA","L",0,1,NA,"72-56",1,"up 3.0","Straily","Foltynewicz","Conley",02:48:00,"N",7792,"-",NA
"148",291,129,"Saturday Aug 25","boxscore","ATL","@","MIA","L",1,3,NA,"72-57",1,"up 3.0","Chen","Sanchez","Steckenrider",02:54:00,"N",7823,"--",NA
"149",292,130,"Sunday Aug 26","boxscore","ATL","@","MIA","W",4,0,NA,"73-57",1,"up 3.0","Gausman","Lopez",NA,03:16:00,"D",12770,"+",NA
"150",302,140,"Thursday Sep 6","boxscore","ATL","@","ARI","W",7,6,10,"77-63",1,"up 3.5","Biddle","Boxberger","Brach",04:11:00,"N",21903,"+",NA
"151",303,141,"Friday Sep 7","boxscore","ATL","@","ARI","L",3,5,NA,"77-64",1,"up 2.5","Corbin","Gausman","Boxberger",03:48:00,"N",31308,"-",NA
"152",304,142,"Saturday Sep 8","boxscore","ATL","@","ARI","W",5,4,10,"78-64",1,"up 3.5","Sobotka","Chafin","Minter",04:07:00,"N",40482,"+",NA
